"Date"	"Injury"	"Firstname"	"Lastname"	"City"	"TeamName"	"games.injured"	"MissedGamesListing"	"InjuryType"	"SeasonEnding"	"Index"	"delete.duplicate"	"injstart.month"	"injstart.day"	"injstart.year"	"injend.month"	"injend.day"	"injend.year"	"DaysMissed"	"GeneralInjury"	"ReducedInjuryTypes"
"3028"	Dec 12, 2014	Missed 21 games (hand injury).	BEN	LOVEJOY	NEW YORK	JERSEYDEVILS	21	TRUE	hand injury	FALSE	1811	0	10	27	2014	12	12	2014	46	hand	arm/hand
"12528"	Mar 17, 2016	Missed 12 games (upper body injury).	BEN	LOVEJOY	NEW YORK	JERSEYDEVILS	12	TRUE	upper body injury	FALSE	1812	0	2	21	2016	3	17	2016	25	upper body	upper body
"18582"	Oct 31, 2014	Missed 8 games (sprained right knee).	PATRICK	MAROON	NEW YORK	JERSEYDEVILS	8	TRUE	sprained right knee	FALSE	1813	0	10	14	2014	10	31	2014	17	knee	leg
"681"	Apr 08, 2015	Missed 1 game (flu).	PATRICK	MAROON	NEW YORK	JERSEYDEVILS	1	TRUE	flu	FALSE	1814	0	4	03	2015	4	08	2015	5	cold/virus	illness
"13028"	Mar 24, 2016	Missed 1 game (illness).	PATRICK	MAROON	NEW YORK	JERSEYDEVILS	1	TRUE	illness	FALSE	1815	0	3	22	2016	3	24	2016	2	cold/virus	illness
"6412"	Feb 25, 2018	Missed 2 games (lower body injury).	PATRICK	MAROON	NEW YORK	JERSEYDEVILS	2	TRUE	lower body injury	FALSE	1816	0	2	22	2018	2	25	2018	3	lower body	lower body
"2871"	Dec 10, 2011	Missed 3 games (illness).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	3	TRUE	illness	FALSE	1817	0	12	02	2011	12	10	2011	8	cold/virus	illness
"563"	Apr 07, 2012	Missed the last 4 regular season games (foot injury).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	4	TRUE	foot injury	TRUE	1818	0	3	31	2012	4	07	2012	7	foot	foot
"5637"	Feb 16, 2013	Missed 5 games (lower body injury).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	5	TRUE	lower body injury	FALSE	1819	0	2	05	2013	2	16	2013	11	lower body	lower body
"12370"	Mar 15, 2013	Missed 8 games (shoulder injury).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	8	TRUE	shoulder injury	FALSE	1820	0	3	01	2013	3	15	2013	14	shoulder	upper body
"240"	Apr 03, 2014	Missed 6 games (concussion).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	6	TRUE	concussion	FALSE	1821	0	3	22	2014	4	03	2014	12	concussion	concussion
"17573"	Oct 16, 2015	Missed 1 game (lower body injury).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	1	TRUE	lower body injury	FALSE	1822	0	10	13	2015	10	16	2015	3	lower body	lower body
"8134"	Jan 15, 2016	Missed 4 games (lower body injury).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	4	TRUE	lower body injury	FALSE	1823	0	1	08	2016	1	15	2016	7	lower body	lower body
"4755"	Feb 04, 2016	Missed 3 games (lower body injury).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	3	TRUE	lower body injury	FALSE	1824	0	1	22	2016	2	04	2016	13	lower body	lower body
"13029"	Mar 24, 2016	Missed 1 game (knee injury).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	1	TRUE	knee injury	FALSE	1825	0	3	20	2016	3	24	2016	4	knee	leg
"5391"	Feb 12, 2017	Missed 17 games (concussion).	JOHN	MOORE	NEW YORK	JERSEYDEVILS	17	TRUE	concussion	FALSE	1826	0	12	31	2016	2	12	2017	43	concussion	concussion
"9121"	Jan 27, 2015	Missed 6 games (upper body injury).	MIRCO	MUELLER	NEW YORK	JERSEYDEVILS	6	TRUE	upper body injury	FALSE	1827	0	1	10	2015	1	27	2015	17	upper body	upper body
"1096"	Apr 11, 2015	Missed the last 8 regular season games (left hand injury).	MIRCO	MUELLER	NEW YORK	JERSEYDEVILS	8	TRUE	left hand injury	TRUE	1828	0	3	27	2015	4	11	2015	15	hand	arm/hand
"9326"	Jan 30, 2018	Missed 31 games (fractured clavicle).	MIRCO	MUELLER	NEW YORK	JERSEYDEVILS	31	TRUE	fractured clavicle	FALSE	1829	0	11	15	2017	1	30	2018	76	collarbone	mid body
"12298"	Mar 14, 2013	Missed 5 games (upper body injury).	KYLE	PALMIERI	NEW YORK	JERSEYDEVILS	5	TRUE	upper body injury	FALSE	1830	0	3	04	2013	3	14	2013	10	upper body	upper body
"17384"	Oct 13, 2013	Missed 1 game (upper body injury).	KYLE	PALMIERI	NEW YORK	JERSEYDEVILS	1	TRUE	upper body injury	FALSE	1831	0	10	10	2013	10	13	2013	3	upper body	upper body
"15076"	Nov 14, 2013	Missed 1 game (illness).	KYLE	PALMIERI	NEW YORK	JERSEYDEVILS	1	TRUE	illness	FALSE	1832	0	11	12	2013	11	14	2013	2	cold/virus	illness
"15237"	Nov 16, 2014	Missed 18 games (ankle injury).	KYLE	PALMIERI	NEW YORK	JERSEYDEVILS	18	TRUE	ankle injury	FALSE	1833	0	10	07	2014	11	16	2014	40	ankle	foot
"6993"	Jan 02, 2015	Missed 6 games (shoulder injury).	KYLE	PALMIERI	NEW YORK	JERSEYDEVILS	6	TRUE	shoulder injury	FALSE	1834	0	12	17	2014	1	02	2015	16	shoulder	upper body
"15933"	Nov 25, 2016	Missed 2 games (upper body injury).	KYLE	PALMIERI	NEW YORK	JERSEYDEVILS	2	TRUE	upper body injury	FALSE	1835	0	11	21	2016	11	25	2016	4	upper body	upper body
"17306"	Oct 11, 2017	Missed 1 game (lower body injury).	KYLE	PALMIERI	NEW YORK	JERSEYDEVILS	1	TRUE	lower body injury	FALSE	1836	0	10	09	2017	10	11	2017	2	lower body	lower body
"14754"	Nov 09, 2017	Missed 6 games (foot injury).	KYLE	PALMIERI	NEW YORK	JERSEYDEVILS	6	TRUE	foot injury	FALSE	1837	0	10	27	2017	11	09	2017	13	foot	foot
"3520"	Dec 18, 2017	Missed 12 games (broken foot).	KYLE	PALMIERI	NEW YORK	JERSEYDEVILS	12	TRUE	broken foot	FALSE	1838	0	11	22	2017	12	18	2017	26	foot	foot
"1239"	Apr 13, 2013	Missed 1 game (flu).	CORY	SCHNEIDER	NEW YORK	JERSEYDEVILS	1	TRUE	flu	FALSE	1839	0	4	10	2013	4	13	2013	3	cold/virus	illness
"13700"	May 05, 2013	Missed 4 games (lower body injury).	CORY	SCHNEIDER	NEW YORK	JERSEYDEVILS	4	TRUE	lower body injury	FALSE	1840	0	4	25	2013	5	05	2013	10	lower body	lower body
"14296"	Nov 03, 2013	Missed 3 games (lower body injury).	CORY	SCHNEIDER	NEW YORK	JERSEYDEVILS	3	TRUE	lower body injury	FALSE	1841	0	10	26	2013	11	03	2013	8	lower body	lower body
"13479"	Mar 30, 2016	Missed 11 games (leg injury).	CORY	SCHNEIDER	NEW YORK	JERSEYDEVILS	11	TRUE	leg injury	FALSE	1843	0	3	05	2016	3	30	2016	25	leg	leg
"18406"	Oct 28, 2017	Missed 2 games (lower body injury).	CORY	SCHNEIDER	NEW YORK	JERSEYDEVILS	2	TRUE	lower body injury	FALSE	1844	0	10	20	2017	10	28	2017	8	lower body	lower body
"8342"	Jan 17, 2018	Missed 1 game (illness).	CORY	SCHNEIDER	NEW YORK	JERSEYDEVILS	1	TRUE	illness	FALSE	1845	0	1	16	2018	1	17	2018	1	cold/virus	illness
"8754"	Jan 22, 2018	Missed 1 game (illness).	CORY	SCHNEIDER	NEW YORK	JERSEYDEVILS	1	TRUE	illness	FALSE	1846	0	1	19	2018	1	22	2018	3	cold/virus	illness
"11289"	Mar 01, 2018	Missed 16 games (groin).	CORY	SCHNEIDER	NEW YORK	JERSEYDEVILS	16	TRUE	groin	FALSE	1847	0	1	25	2018	3	01	2018	35	groin	lower body
"11474"	Mar 03, 2015	Missed 31 games (fractured ankle).	DAMON	SEVERSON	NEW YORK	JERSEYDEVILS	31	TRUE	fractured ankle	FALSE	1848	0	12	17	2014	3	03	2015	76	ankle	foot
"11828"	Mar 07, 2017	Missed 1 game (upper body injury).	DAMON	SEVERSON	NEW YORK	JERSEYDEVILS	1	TRUE	upper body injury	FALSE	1849	0	3	05	2017	3	07	2017	2	upper body	upper body
"16111"	Nov 28, 2007	Missed 3 games (shoulder injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	3	TRUE	shoulder injury	FALSE	1850	0	11	23	2007	11	28	2007	5	shoulder	upper body
"7115"	Jan 04, 2008	Missed 3 games (concussion).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	3	TRUE	concussion	FALSE	1851	0	12	28	2007	1	04	2008	7	concussion	concussion
"4789"	Feb 05, 2008	Missed 1 game (sprained right ankle).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	1	TRUE	sprained right ankle	FALSE	1852	0	2	01	2008	2	05	2008	4	ankle	foot
"6850"	Feb 29, 2008	Missed 10 games (right ankle injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	10	TRUE	right ankle injury	FALSE	1853	0	2	09	2008	2	29	2008	20	ankle	foot
"15368"	Nov 18, 2009	Missed 1 game (hip flexor).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	1	TRUE	hip flexor	FALSE	1854	0	11	14	2009	11	18	2009	4	hip	lower body
"15872"	Nov 25, 2009	Missed 1 game (lower body injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	1	TRUE	lower body injury	FALSE	1855	0	11	21	2009	11	25	2009	4	lower body	lower body
"12713"	Mar 20, 2010	Missed 6 games (groin).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	6	TRUE	groin	FALSE	1856	0	3	07	2010	3	20	2010	13	groin	lower body
"1580"	Apr 19, 2010	Missed 3 games (concussion).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	3	TRUE	concussion	FALSE	1857	0	4	11	2010	4	19	2010	8	concussion	concussion
"2366"	Dec 03, 2010	Missed 11 games (shoulder injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	11	TRUE	shoulder injury	FALSE	1858	0	11	06	2010	12	03	2010	27	shoulder	upper body
"3235"	Dec 15, 2010	Missed 4 games (upper body injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	4	TRUE	upper body injury	FALSE	1859	0	12	04	2010	12	15	2010	11	upper body	upper body
"8914"	Jan 25, 2011	Missed 3 games (groin).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	3	TRUE	groin	FALSE	1860	0	1	20	2011	1	25	2011	5	groin	lower body
"12354"	Mar 15, 2011	Missed 2 games (hamstring).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	2	TRUE	hamstring	FALSE	1861	0	3	12	2011	3	15	2011	3	hamstring	leg
"4722"	Feb 04, 2012	Missed 1 game (flu).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	1	TRUE	flu	FALSE	1862	0	2	01	2012	2	04	2012	3	cold/virus	illness
"8111"	Jan 15, 2014	Missed 4 games (upper body injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	4	TRUE	upper body injury	FALSE	1863	0	1	03	2014	1	15	2014	12	upper body	upper body
"4660"	Feb 03, 2014	Missed 4 games (upper body injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	4	TRUE	upper body injury	FALSE	1864	0	1	27	2014	2	03	2014	7	upper body	upper body
"768"	Apr 09, 2014	Missed 4 games (undisclosed).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	4	TRUE	undisclosed	FALSE	1865	0	4	03	2014	4	09	2014	6	undisclosed	undisclosed
"2588"	Dec 06, 2014	Missed 3 games (lower body injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	3	TRUE	lower body injury	FALSE	1866	0	11	29	2014	12	06	2014	7	lower body	lower body
"8799"	Jan 23, 2016	Missed 3 games (undisclosed).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	3	TRUE	undisclosed	FALSE	1868	0	1	15	2016	1	23	2016	8	undisclosed	undisclosed
"15779"	Nov 23, 2016	Missed 15 games (upper body injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	15	TRUE	upper body injury	FALSE	1869	0	10	27	2016	11	23	2016	27	upper body	upper body
"4980"	Feb 07, 2017	Missed 6 games (lower body injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	6	TRUE	lower body injury	FALSE	1870	0	1	22	2017	2	07	2017	16	lower body	lower body
"6838"	Feb 28, 2017	Missed 3 games (illness).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	3	TRUE	illness	FALSE	1871	0	2	18	2017	2	28	2017	10	cold/virus	illness
"17466"	Oct 14, 2017	Missed 3 games (lower body injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	3	TRUE	lower body injury	FALSE	1872	0	10	09	2017	10	14	2017	5	lower body	lower body
"6306"	Feb 24, 2018	Missed 1 game (lower body injury).	DREW	STAFFORD	NEW YORK	JERSEYDEVILS	1	TRUE	lower body injury	FALSE	1873	0	2	22	2018	2	24	2018	2	lower body	lower body
"8925"	Jan 25, 2013	Missed 2 games (foot injury).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	2	TRUE	foot injury	FALSE	1874	0	1	18	2013	1	25	2013	7	foot	foot
"14652"	Nov 08, 2013	Missed 1 game (upper body injury).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	1	TRUE	upper body injury	FALSE	1875	0	11	06	2013	11	08	2013	2	upper body	upper body
"12745"	Mar 20, 2015	Missed 15 games (lower body injury).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	15	TRUE	lower body injury	FALSE	1876	0	2	17	2015	3	20	2015	31	lower body	lower body
"13327"	Mar 28, 2016	Missed 8 games (upper body injury).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	8	TRUE	upper body injury	FALSE	1877	0	3	10	2016	3	28	2016	18	upper body	upper body
"1197"	Apr 12, 2016	Missed the last 3 regular season games (illness).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	3	TRUE	illness	TRUE	1878	0	4	07	2016	4	12	2016	5	cold/virus	illness
"6936"	Jan 01, 2017	Missed 3 games (illness).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	3	TRUE	illness	FALSE	1879	0	12	27	2016	1	01	2017	5	cold/virus	illness
"8949"	Jan 25, 2017	Missed 1 game (undisclosed).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	1	TRUE	undisclosed	FALSE	1880	0	1	23	2017	1	25	2017	2	undisclosed	undisclosed
"5742"	Feb 17, 2017	Missed 5 games (lower body injury).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	5	TRUE	lower body injury	FALSE	1881	0	2	04	2017	2	17	2017	13	lower body	lower body
"446"	Apr 05, 2017	Missed 2 games (upper body injury).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	2	TRUE	upper body injury	FALSE	1882	0	4	02	2017	4	05	2017	3	upper body	upper body
"2005"	Apr 30, 2017	Missed the last 5 playoff games (upper body injury).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	5	TRUE	upper body injury	TRUE	1883	0	4	15	2017	4	30	2017	15	upper body	upper body
"18407"	Oct 28, 2017	Missed 9 games (shoulder injury).	SAMI	VATANEN	NEW YORK	JERSEYDEVILS	9	TRUE	shoulder injury	FALSE	1884	0	10	03	2017	10	28	2017	25	shoulder	upper body
"11826"	Mar 07, 2017	Missed 1 game (lower body injury).	MILES	WOOD	NEW YORK	JERSEYDEVILS	1	TRUE	lower body injury	FALSE	1885	0	3	05	2017	3	07	2017	2	lower body	lower body
"12832"	Mar 21, 2017	Missed 1 game (undisclosed).	MILES	WOOD	NEW YORK	JERSEYDEVILS	1	TRUE	undisclosed	FALSE	1886	0	3	19	2017	3	21	2017	2	undisclosed	undisclosed
"516"	Apr 06, 2017	Missed 1 game (shoulder injury).	MILES	WOOD	NEW YORK	JERSEYDEVILS	1	TRUE	shoulder injury	FALSE	1887	0	4	04	2017	4	06	2017	2	shoulder	upper body
"3285"	Dec 15, 2016	Missed 4 games (facial injury).	PAVEL	ZACHA	NEW YORK	JERSEYDEVILS	4	TRUE	facial injury	FALSE	1888	0	12	06	2016	12	15	2016	9	face	head/neck/face
"11694"	Mar 05, 2017	Missed 4 games (concussion).	PAVEL	ZACHA	NEW YORK	JERSEYDEVILS	4	TRUE	concussion	FALSE	1889	0	2	23	2017	3	05	2017	10	concussion	concussion
"18190"	Oct 26, 2006	Missed 2 games (hip injury).	TRAVIS	ZAJAC	NEW YORK	JERSEYDEVILS	2	TRUE	hip injury	FALSE	1890	0	10	21	2006	10	26	2006	5	hip	lower body
"3319"	Dec 16, 2011	Missed 30 games (left achilles).	TRAVIS	ZAJAC	NEW YORK	JERSEYDEVILS	30	TRUE	left achilles	FALSE	1891	0	10	05	2011	12	16	2011	72	achilles	foot
"13079"	Mar 25, 2012	Missed 37 games (achilles).	TRAVIS	ZAJAC	NEW YORK	JERSEYDEVILS	37	TRUE	achilles	FALSE	1892	0	1	04	2012	3	25	2012	81	achilles	foot
"14525"	Nov 06, 2013	Missed 2 games (sprained right ankle).	TRAVIS	ZAJAC	NEW YORK	JERSEYDEVILS	2	TRUE	sprained right ankle	FALSE	1893	0	11	02	2013	11	06	2013	4	ankle	foot
"3254"	Dec 15, 2014	Missed 8 games (lower body injury).	TRAVIS	ZAJAC	NEW YORK	JERSEYDEVILS	8	TRUE	lower body injury	FALSE	1894	0	11	29	2014	12	15	2014	16	lower body	lower body
"17684"	Oct 18, 2015	Missed 1 game (lower body injury).	TRAVIS	ZAJAC	NEW YORK	JERSEYDEVILS	1	TRUE	lower body injury	FALSE	1895	0	10	16	2015	10	18	2015	2	lower body	lower body
"3604"	Dec 19, 2015	Missed 7 games (upper body injury).	TRAVIS	ZAJAC	NEW YORK	JERSEYDEVILS	7	TRUE	upper body injury	FALSE	1896	0	12	04	2015	12	19	2015	15	upper body	upper body
"7095"	Jan 03, 2017	Missed 1 game (illness).	TRAVIS	ZAJAC	NEW YORK	JERSEYDEVILS	1	TRUE	illness	FALSE	1897	0	1	02	2017	1	03	2017	1	cold/virus	illness
"15272"	Nov 16, 2017	Missed 17 games (pectoral injuries).	TRAVIS	ZAJAC	NEW YORK	JERSEYDEVILS	17	TRUE	pectoral injuries	FALSE	1899	0	10	03	2017	11	16	2017	44	hand	arm/hand
"13037"	Mar 24, 2016	Missed 8 games (lower body injury).	JOEL	ARMIA	WINNIPEG	JETS	8	TRUE	lower body injury	FALSE	1900	0	3	08	2016	3	24	2016	16	lower body	lower body
"3821"	Dec 22, 2016	Missed 24 games (lower body injury).	JOEL	ARMIA	WINNIPEG	JETS	24	TRUE	lower body injury	FALSE	1901	0	11	04	2016	12	22	2016	48	lower body	lower body
"18477"	Oct 29, 2017	Missed 1 game (undisclosed).	JOEL	ARMIA	WINNIPEG	JETS	1	TRUE	undisclosed	FALSE	1902	0	10	27	2017	10	29	2017	2	undisclosed	undisclosed
"16115"	Nov 28, 2008	Missed 2 games (undisclosed).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	2	TRUE	undisclosed	FALSE	1903	0	11	22	2008	11	28	2008	6	undisclosed	undisclosed
"12059"	Mar 11, 2011	Missed 1 game (lower body injury).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	1	TRUE	lower body injury	FALSE	1904	0	3	09	2011	3	11	2011	2	lower body	lower body
"4571"	Feb 02, 2012	Missed 16 games (knee injury).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	16	TRUE	knee injury	FALSE	1905	0	12	27	2011	2	02	2012	37	knee	leg
"5356"	Feb 12, 2013	Missed 5 games (lower body injury).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	5	TRUE	lower body injury	FALSE	1906	0	1	31	2013	2	12	2013	12	lower body	lower body
"12872"	Mar 22, 2014	Missed 1 game (lower body injury).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	1	TRUE	lower body injury	FALSE	1907	0	3	19	2014	3	22	2014	3	lower body	lower body
"1057"	Apr 11, 2014	Missed the last 3 regular season games (upper body injury).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	3	TRUE	upper body injury	TRUE	1908	0	4	07	2014	4	11	2014	4	upper body	upper body
"13174"	Mar 26, 2015	Missed 9 games (upper body injury).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	9	TRUE	upper body injury	FALSE	1909	0	3	06	2015	3	26	2015	20	upper body	upper body
"12399"	Mar 15, 2016	Missed 1 game (undisclosed).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	1	TRUE	undisclosed	FALSE	1910	0	3	14	2016	3	15	2016	1	undisclosed	undisclosed
"13344"	Mar 28, 2017	Missed 2 games (lower body injury).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	2	TRUE	lower body injury	FALSE	1911	0	3	24	2017	3	28	2017	4	lower body	lower body
"17462"	Oct 14, 2017	Missed 2 games (lower body injury).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	2	TRUE	lower body injury	FALSE	1912	0	10	09	2017	10	14	2017	5	lower body	lower body
"7031"	Jan 02, 2018	Missed 10 games (lower body injury).	DUSTIN	BYFUGLIEN	WINNIPEG	JETS	10	TRUE	lower body injury	FALSE	1913	0	12	11	2017	1	02	2018	22	lower body	lower body
"498"	Apr 06, 2015	Missed 17 games (hand injury).	BEN	CHIAROT	WINNIPEG	JETS	17	TRUE	hand injury	FALSE	1914	0	2	23	2015	4	06	2015	42	hand	arm/hand
"18028"	Oct 23, 2015	Missed 3 games (undisclosed).	BEN	CHIAROT	WINNIPEG	JETS	3	TRUE	undisclosed	FALSE	1915	0	10	15	2015	10	23	2015	8	undisclosed	undisclosed
"5052"	Feb 08, 2017	Missed 12 games (upper body injury).	BEN	CHIAROT	WINNIPEG	JETS	12	TRUE	upper body injury	FALSE	1916	0	1	13	2017	2	08	2017	26	upper body	upper body
"714"	Apr 08, 2017	Missed the last 10 regular season games (upper body injury).	BEN	CHIAROT	WINNIPEG	JETS	10	TRUE	upper body injury	TRUE	1917	0	3	21	2017	4	08	2017	18	upper body	upper body
"15934"	Nov 25, 2016	Missed 5 games (upper body injury).	KYLE	CONNOR	WINNIPEG	JETS	5	TRUE	upper body injury	FALSE	1918	0	11	14	2016	11	25	2016	11	upper body	upper body
"2539"	Dec 05, 2017	Missed 1 game (lower body injury).	KYLE	CONNOR	WINNIPEG	JETS	1	TRUE	lower body injury	FALSE	1919	0	12	03	2017	12	05	2017	2	lower body	lower body
"14808"	Nov 10, 2015	Missed 4 games (upper body injury).	ANDREW	COPP	WINNIPEG	JETS	4	TRUE	upper body injury	FALSE	1920	0	11	01	2015	11	10	2015	9	upper body	upper body
"11505"	Mar 03, 2017	Missed 5 games (upper body injury).	ANDREW	COPP	WINNIPEG	JETS	5	TRUE	upper body injury	FALSE	1921	0	2	15	2017	3	03	2017	16	upper body	upper body
"18223"	Oct 26, 2014	Missed 4 games (undisclosed).	MARKO	DANO	WINNIPEG	JETS	4	TRUE	undisclosed	FALSE	1922	0	10	17	2014	10	26	2014	9	undisclosed	undisclosed
"12888"	Mar 22, 2016	Missed 1 game (flu).	MARKO	DANO	WINNIPEG	JETS	1	TRUE	flu	FALSE	1923	0	3	20	2016	3	22	2016	2	cold/virus	illness
"11408"	Mar 02, 2017	Missed 26 games (leg injury).	MARKO	DANO	WINNIPEG	JETS	26	TRUE	leg injury	FALSE	1924	0	12	30	2016	3	02	2017	62	leg	leg
"13196"	Mar 26, 2017	Missed 2 games (undisclosed).	MARKO	DANO	WINNIPEG	JETS	2	TRUE	undisclosed	FALSE	1925	0	3	23	2017	3	26	2017	3	undisclosed	undisclosed
"13031"	Mar 24, 2016	Missed 10 games (eye injury).	NIKOLAJ	EHLERS	WINNIPEG	JETS	10	TRUE	eye injury	FALSE	1926	0	3	04	2016	3	24	2016	20	eye	head/neck/face
"5271"	Feb 11, 2011	Missed 6 games (fractured finger).	TOBY	ENSTROM	WINNIPEG	JETS	6	TRUE	fractured finger	FALSE	1927	0	1	23	2011	2	11	2011	19	finger	arm/hand
"930"	Apr 10, 2011	Missed the last 4 regular season games (shoulder injury).	TOBY	ENSTROM	WINNIPEG	JETS	4	TRUE	shoulder injury	TRUE	1928	0	4	05	2011	4	10	2011	5	shoulder	upper body
"3392"	Dec 17, 2011	Missed 20 games (broken collar bone).	TOBY	ENSTROM	WINNIPEG	JETS	20	TRUE	broken collar bone	FALSE	1929	0	11	03	2011	12	17	2011	44	collarbone	mid body
"13000"	Mar 24, 2013	Missed 19 games (right shoulder injury).	TOBY	ENSTROM	WINNIPEG	JETS	19	TRUE	right shoulder injury	FALSE	1930	0	2	17	2013	3	24	2013	35	shoulder	upper body
"1908"	Apr 27, 2013	Missed the last 7 regular season games (back injury).	TOBY	ENSTROM	WINNIPEG	JETS	7	TRUE	back injury	TRUE	1931	0	4	11	2013	4	27	2013	16	back	mid body
"7669"	Jan 10, 2015	Missed 19 games (lower body injury).	TOBY	ENSTROM	WINNIPEG	JETS	19	TRUE	lower body injury	FALSE	1932	0	11	25	2014	1	10	2015	46	lower body	lower body
"961"	Apr 10, 2015	Missed 3 games (upper body injury).	TOBY	ENSTROM	WINNIPEG	JETS	3	TRUE	upper body injury	FALSE	1933	0	4	06	2015	4	10	2015	4	upper body	upper body
"793"	Apr 09, 2016	Missed 10 games (knee injury).	TOBY	ENSTROM	WINNIPEG	JETS	10	TRUE	knee injury	FALSE	1934	0	3	22	2016	4	09	2016	18	knee	leg
"6840"	Feb 28, 2017	Missed 5 games (lower body injury).	TOBY	ENSTROM	WINNIPEG	JETS	5	TRUE	lower body injury	FALSE	1936	0	2	13	2017	2	28	2017	15	lower body	lower body
"715"	Apr 08, 2017	Missed the last 14 regular season games (knee surgery).	TOBY	ENSTROM	WINNIPEG	JETS	14	TRUE	knee surgery	TRUE	1937	0	3	10	2017	4	08	2017	29	knee	leg
"7349"	Jan 06, 2018	Missed 23 games (lower body injury).	TOBY	ENSTROM	WINNIPEG	JETS	23	TRUE	lower body injury	FALSE	1938	0	11	19	2017	1	06	2018	48	lower body	lower body
"14511"	Nov 06, 2009	Missed 5 games (groin).	MATT	HENDRICKS	WINNIPEG	JETS	5	TRUE	groin	FALSE	1939	0	10	27	2009	11	06	2009	10	groin	lower body
"16121"	Nov 28, 2009	Missed 6 games (groin).	MATT	HENDRICKS	WINNIPEG	JETS	6	TRUE	groin	FALSE	1940	0	11	18	2009	11	28	2009	10	groin	lower body
"11214"	Mar 01, 2010	Missed 12 games (ankle injury).	MATT	HENDRICKS	WINNIPEG	JETS	12	TRUE	ankle injury	FALSE	1941	0	1	22	2010	3	01	2010	38	ankle	foot
"3957"	Dec 26, 2010	Missed 2 games (undisclosed).	MATT	HENDRICKS	WINNIPEG	JETS	2	TRUE	undisclosed	FALSE	1942	0	12	21	2010	12	26	2010	5	undisclosed	undisclosed
"17069"	Oct 08, 2011	Missed 1 game (undisclosed).	MATT	HENDRICKS	WINNIPEG	JETS	1	TRUE	undisclosed	FALSE	1943	0	10	06	2011	10	08	2011	2	undisclosed	undisclosed
"3393"	Dec 17, 2011	Missed 4 games (lower body injury).	MATT	HENDRICKS	WINNIPEG	JETS	4	TRUE	lower body injury	FALSE	1944	0	12	07	2011	12	17	2011	10	lower body	lower body
"14788"	Nov 10, 2013	Missed 3 games (upper body injury).	MATT	HENDRICKS	WINNIPEG	JETS	3	TRUE	upper body injury	FALSE	1945	0	11	02	2013	11	10	2013	8	upper body	upper body
"2810"	Dec 09, 2014	Missed 4 games (leg injury).	MATT	HENDRICKS	WINNIPEG	JETS	4	TRUE	leg injury	FALSE	1946	0	11	28	2014	12	09	2014	11	leg	leg
